T1-AntesDeConectar;T2-AposConectar
1520719169589;1520719172324

Contador;IniLoop;StreamSize;ResponseTime
0;1520719173671;1000;0
1;1520719174204;2000;26
2;1520719174693;3000;3
3;1520719175209;4000;2
4;1520719175651;5000;4
5;1520719176088;6000;1
6;1520719176526;7000;3
7;1520719176957;8000;1
8;1520719177393;9000;1
9;1520719177822;10000;4
10;1520719178252;11000;1
11;1520719178683;12000;1
12;1520719179110;13000;3
13;1520719179544;14000;5
14;1520719179993;15000;5
15;1520719180461;16000;4
16;1520719180959;17000;2
17;1520719181385;18000;2
18;1520719181793;19000;2
19;1520719182205;20000;2
20;1520719182616;21000;1
21;1520719183026;22000;2
22;1520719183435;23000;3
23;1520719183845;24000;2
24;1520719184249;25000;2
25;1520719184656;26000;3
26;1520719185061;27000;2
27;1520719185459;28000;2
28;1520719185869;29000;2
29;1520719186268;30000;2
30;1520719186669;31000;5
31;1520719187071;32000;2
32;1520719187504;33000;2
33;1520719187914;34000;2
34;1520719188320;35000;2
35;1520719188734;36000;3
36;1520719189143;37000;2
37;1520719189549;38000;3
38;1520719189957;39000;5
39;1520719190363;40000;3
40;1520719190789;41000;4
41;1520719191195;42000;4
42;1520719191639;43000;2
43;1520719192077;44000;4
44;1520719192481;45000;6
45;1520719192895;46000;3
46;1520719193297;47000;3
47;1520719193707;48000;3
48;1520719194112;49000;3
49;1520719194518;50000;4
50;1520719194941;51000;3
51;1520719195352;52000;3
52;1520719195818;53000;2
53;1520719196221;54000;2
54;1520719196621;55000;4
55;1520719197022;56000;3
56;1520719197447;57000;3
57;1520719197854;58000;5
58;1520719198272;59000;3
59;1520719198688;60000;2
60;1520719199092;61000;3
61;1520719199492;62000;2
62;1520719199896;63000;2
63;1520719200299;64000;2
64;1520719200699;65000;3
65;1520719201114;66000;7
66;1520719201514;67000;4
67;1520719201920;68000;3
68;1520719202320;69000;4
69;1520719202735;70000;4
70;1520719203138;71000;2
71;1520719203545;72000;2
72;1520719203948;73000;3
73;1520719204356;74000;3
74;1520719204756;75000;2
75;1520719205159;76000;2
76;1520719205558;77000;4
77;1520719205960;78000;3
78;1520719206361;79000;3
79;1520719206773;80000;5
80;1520719207171;81000;2
81;1520719207576;82000;3
82;1520719207975;83000;2
83;1520719208372;84000;3
84;1520719208774;85000;2
85;1520719209177;86000;3
86;1520719209575;87000;3
87;1520719209980;88000;3
88;1520719210379;89000;4
89;1520719210779;90000;3
90;1520719211178;91000;4
91;1520719211578;92000;3
92;1520719211979;93000;4
93;1520719212377;94000;4
94;1520719212775;95000;3
95;1520719213180;96000;3
96;1520719213577;97000;3
97;1520719213977;98000;3
98;1520719214379;99000;3
99;1520719214780;100000;4
100;1520719215187;101000;5
101;1520719215587;102000;4
102;1520719215988;103000;3
103;1520719216387;104000;3
104;1520719216787;105000;4
105;1520719217192;106000;4
106;1520719217587;107000;3
107;1520719217988;108000;3
108;1520719218382;109000;3
109;1520719218784;110000;4
110;1520719219180;111000;4
111;1520719219578;112000;4
112;1520719219977;113000;3
113;1520719220377;114000;4
114;1520719220786;115000;4
115;1520719221190;116000;4
116;1520719221591;117000;3
117;1520719221994;118000;4
118;1520719222386;119000;2
119;1520719222779;120000;2
120;1520719223176;121000;3
121;1520719223573;122000;5
122;1520719223967;123000;3
123;1520719224370;124000;5
124;1520719224765;125000;3
125;1520719225167;126000;4
126;1520719225563;127000;4
127;1520719226027;128000;4
128;1520719226454;129000;4
129;1520719226887;130000;4
130;1520719227327;131000;5
131;1520719227733;132000;4
132;1520719228139;133000;3
133;1520719228589;134000;4
134;1520719229006;135000;5
135;1520719229476;136000;4
136;1520719229878;137000;4
137;1520719230284;138000;6
138;1520719230681;139000;3
139;1520719231077;140000;4
140;1520719231480;141000;3
141;1520719231886;142000;4
142;1520719232296;143000;3
143;1520719232698;144000;3
144;1520719233111;145000;4
145;1520719233511;146000;5
146;1520719233918;147000;5
147;1520719234319;148000;4
148;1520719234722;149000;5
149;1520719235122;150000;5
150;1520719235517;151000;4
151;1520719235918;152000;4
152;1520719236314;153000;5
153;1520719236738;154000;4
154;1520719237136;155000;4
155;1520719237530;156000;5
156;1520719237926;157000;4
157;1520719238324;158000;3
158;1520719238717;159000;4
159;1520719239145;160000;7
160;1520719239549;161000;5
161;1520719239943;162000;5
162;1520719240343;163000;4
163;1520719240742;164000;4
164;1520719241151;165000;4
165;1520719241571;166000;4
166;1520719241975;167000;4
167;1520719242375;168000;5
168;1520719242775;169000;5
169;1520719243185;170000;6
170;1520719243583;171000;5
171;1520719243984;172000;4
172;1520719244376;173000;3
173;1520719244770;174000;5
174;1520719245168;175000;5
175;1520719245561;176000;5
176;1520719245975;177000;5
177;1520719246399;178000;4
178;1520719246816;179000;5
179;1520719247222;180000;3
180;1520719247647;181000;4
181;1520719248050;182000;5
182;1520719248460;183000;4
183;1520719248854;184000;5
184;1520719249278;185000;4
185;1520719249681;186000;5
186;1520719250088;187000;6
187;1520719250501;188000;4
188;1520719250910;189000;6
189;1520719251316;190000;5
190;1520719251721;191000;5
191;1520719252123;192000;5
192;1520719252525;193000;7
193;1520719252923;194000;6
194;1520719253330;195000;8
195;1520719253728;196000;5
196;1520719254127;197000;5
197;1520719254532;198000;4
198;1520719254932;199000;4
199;1520719255336;200000;5
200;1520719255826;201000;5
201;1520719256246;202000;7
202;1520719256654;203000;5
203;1520719257065;204000;4
204;1520719257479;205000;5
205;1520719257878;206000;5
206;1520719258287;207000;5
207;1520719258695;208000;5
208;1520719259107;209000;4
209;1520719259512;210000;4
210;1520719259911;211000;7
211;1520719260373;212000;5
212;1520719260767;213000;5
213;1520719261169;214000;6
214;1520719261569;215000;5
215;1520719261971;216000;6
216;1520719262363;217000;5
217;1520719262768;218000;4
218;1520719263165;219000;5
219;1520719263573;220000;5
220;1520719263973;221000;6
221;1520719264373;222000;6
222;1520719264778;223000;4
223;1520719265175;224000;5
224;1520719265574;225000;5
225;1520719265977;226000;4
226;1520719266375;227000;5
227;1520719266776;228000;8
228;1520719267168;229000;4
229;1520719267568;230000;5
230;1520719267973;231000;7
231;1520719268373;232000;7
232;1520719268780;233000;5
233;1520719269173;234000;5
234;1520719269571;235000;5
235;1520719269983;236000;7
236;1520719270391;237000;5
237;1520719270797;238000;6
238;1520719271194;239000;6
239;1520719271603;240000;5
240;1520719272003;241000;4
241;1520719272409;242000;6
242;1520719272802;243000;6
243;1520719273198;244000;5
244;1520719273607;245000;6
245;1520719274014;246000;5
246;1520719274413;247000;6
247;1520719274818;248000;6
248;1520719275219;249000;7
249;1520719275624;250000;6
250;1520719276022;251000;5
251;1520719276424;252000;6
252;1520719276820;253000;6
253;1520719277217;254000;5
254;1520719277631;255000;8
255;1520719278032;256000;7
256;1520719278440;257000;6
257;1520719278844;258000;7
258;1520719279247;259000;6
259;1520719279654;260000;9
260;1520719280063;261000;6
261;1520719280463;262000;5
262;1520719280858;263000;5
263;1520719281255;264000;5
264;1520719281663;265000;6
265;1520719282061;266000;6
266;1520719282464;267000;6
267;1520719282861;268000;5
268;1520719283264;269000;7
269;1520719283661;270000;8
270;1520719284062;271000;6
271;1520719284467;272000;8
272;1520719284875;273000;8
273;1520719285272;274000;6
274;1520719285689;275000;19
275;1520719286089;276000;8
276;1520719286494;277000;6
277;1520719286891;278000;5
278;1520719287288;279000;6
279;1520719287696;280000;5
280;1520719288100;281000;9
281;1520719288501;282000;13
282;1520719288905;283000;7
283;1520719289304;284000;8
284;1520719289705;285000;5
285;1520719290104;286000;8
286;1520719290502;287000;6
287;1520719290896;288000;6
288;1520719291296;289000;7
289;1520719291701;290000;7
290;1520719292107;291000;7
291;1520719292506;292000;6
292;1520719292909;293000;11
293;1520719293299;294000;10
294;1520719293697;295000;7
295;1520719294095;296000;8
296;1520719294496;297000;7
297;1520719294900;298000;8
298;1520719295300;299000;7
299;1520719295692;300000;7
300;1520719296082;301000;6
301;1520719296476;302000;6
302;1520719296867;303000;6
303;1520719297261;304000;7
304;1520719297660;305000;6
305;1520719298047;306000;8
306;1520719298435;307000;6
307;1520719298837;308000;9
308;1520719299241;309000;6
309;1520719299647;310000;9
310;1520719300053;311000;6
311;1520719300467;312000;7
312;1520719300865;313000;7
313;1520719301254;314000;8
314;1520719301639;315000;7
315;1520719302026;316000;7
316;1520719302413;317000;6
317;1520719302815;318000;5
318;1520719303211;319000;7
319;1520719303612;320000;10
320;1520719304006;321000;7
321;1520719304393;322000;7
322;1520719304785;323000;6
323;1520719305185;324000;8
324;1520719305585;325000;7
325;1520719305993;326000;8
326;1520719306388;327000;6
327;1520719306788;328000;8
328;1520719307181;329000;9
329;1520719307573;330000;8
330;1520719307964;331000;6
331;1520719308360;332000;6
332;1520719308746;333000;9
333;1520719309139;334000;7
334;1520719309532;335000;6
335;1520719309923;336000;7
336;1520719310311;337000;8
337;1520719310706;338000;7
338;1520719311094;339000;8
339;1520719311483;340000;9
340;1520719311870;341000;10
341;1520719312259;342000;7
342;1520719312646;343000;9
343;1520719313038;344000;7
344;1520719313422;345000;7
345;1520719313809;346000;7
346;1520719314200;347000;10
347;1520719314583;348000;7
348;1520719314973;349000;7
349;1520719315361;350000;6
350;1520719315780;351000;7
351;1520719316168;352000;7
352;1520719316556;353000;7
353;1520719316947;354000;8
354;1520719317351;355000;11
355;1520719317741;356000;6
356;1520719318130;357000;8
357;1520719318557;358000;7
358;1520719318964;359000;11
359;1520719319347;360000;9
360;1520719319731;361000;7
361;1520719320128;362000;13
362;1520719320524;363000;8
363;1520719320921;364000;8
364;1520719321319;365000;7
365;1520719321718;366000;7
366;1520719322119;367000;6
367;1520719322514;368000;8
368;1520719322908;369000;7
369;1520719323306;370000;9
370;1520719323705;371000;8
371;1520719324102;372000;12
372;1520719324495;373000;8
373;1520719324894;374000;8
374;1520719325290;375000;8
375;1520719325682;376000;8
376;1520719326069;377000;8
377;1520719326467;378000;8
378;1520719326863;379000;7
379;1520719327256;380000;8
380;1520719327656;381000;8
381;1520719328050;382000;10
382;1520719328444;383000;9
383;1520719328838;384000;9
384;1520719329236;385000;13
385;1520719329653;386000;10
386;1520719330054;387000;10
387;1520719330444;388000;7
388;1520719330834;389000;7
389;1520719331217;390000;9
390;1520719331604;391000;8
391;1520719331991;392000;8
392;1520719332377;393000;7
393;1520719332766;394000;7
394;1520719333153;395000;7
395;1520719333537;396000;8
396;1520719333936;397000;10
397;1520719334324;398000;9
398;1520719334716;399000;8
399;1520719335103;400000;8
400;1520719335495;401000;10
401;1520719335881;402000;10
402;1520719336269;403000;7
403;1520719336659;404000;10
404;1520719337049;405000;8
405;1520719337432;406000;7
406;1520719337817;407000;8
407;1520719338206;408000;8
408;1520719338589;409000;7
409;1520719338990;410000;8
410;1520719339374;411000;7
411;1520719339768;412000;7
412;1520719340158;413000;9
413;1520719340558;414000;9
414;1520719340958;415000;9
415;1520719341354;416000;9
416;1520719341753;417000;10
417;1520719342143;418000;7
418;1520719342531;419000;9
419;1520719342923;420000;7
420;1520719343313;421000;12
421;1520719343694;422000;8
422;1520719344084;423000;11
423;1520719344468;424000;10
424;1520719344861;425000;11
425;1520719345259;426000;8
426;1520719345640;427000;8
427;1520719346025;428000;8
428;1520719346407;429000;8
429;1520719346791;430000;7
430;1520719347179;431000;8
431;1520719347560;432000;8
432;1520719347942;433000;7
433;1520719348325;434000;10
434;1520719348705;435000;8
435;1520719349095;436000;9
436;1520719349490;437000;9
437;1520719349878;438000;13
438;1520719350265;439000;9
439;1520719350656;440000;9
440;1520719351055;441000;9
441;1520719351449;442000;8
442;1520719351846;443000;18
443;1520719352241;444000;9
444;1520719352636;445000;15
445;1520719353028;446000;8
446;1520719353421;447000;8
447;1520719353812;448000;9
448;1520719354209;449000;13
449;1520719354593;450000;13
450;1520719354981;451000;9
451;1520719355363;452000;10
452;1520719355808;453000;9
453;1520719356221;454000;12
454;1520719356606;455000;9
455;1520719356988;456000;9
456;1520719357381;457000;8
457;1520719357780;458000;11
458;1520719358199;459000;9
459;1520719358584;460000;11
460;1520719358985;461000;14
461;1520719359372;462000;9
462;1520719359753;463000;8
463;1520719360135;464000;9
464;1520719360514;465000;9
465;1520719360899;466000;10
466;1520719361294;467000;8
467;1520719361680;468000;9
468;1520719362063;469000;9
469;1520719362450;470000;8
470;1520719362844;471000;13
471;1520719363233;472000;9
472;1520719363617;473000;9
473;1520719364005;474000;9
474;1520719364392;475000;10
475;1520719364778;476000;9
476;1520719365169;477000;8
477;1520719365555;478000;9
478;1520719365938;479000;9
479;1520719366328;480000;8
480;1520719366711;481000;10
481;1520719367154;482000;12
482;1520719367538;483000;9
483;1520719367916;484000;10
484;1520719368336;485000;8
485;1520719368722;486000;11
486;1520719369096;487000;12
487;1520719369475;488000;11
488;1520719369848;489000;8
489;1520719370229;490000;13
490;1520719370661;491000;16
491;1520719371050;492000;12
492;1520719371420;493000;9
493;1520719371792;494000;15
494;1520719372160;495000;9
495;1520719372537;496000;8
496;1520719372910;497000;10
497;1520719373283;498000;8
498;1520719373653;499000;11
499;1520719374025;500000;9
500;1520719374398;501000;9
501;1520719374767;502000;10
502;1520719375138;503000;10
503;1520719375535;504000;8
504;1520719375911;505000;10
505;1520719376284;506000;9
506;1520719376654;507000;9
507;1520719377023;508000;8
508;1520719377394;509000;12
509;1520719377764;510000;10
510;1520719378136;511000;8
511;1520719378508;512000;10
512;1520719378883;513000;9
513;1520719379253;514000;9
514;1520719379624;515000;10
515;1520719379995;516000;9
516;1520719380373;517000;13
517;1520719380738;518000;8
518;1520719381105;519000;10
519;1520719381472;520000;9
520;1520719381839;521000;9
521;1520719382207;522000;11
522;1520719382582;523000;9
523;1520719382951;524000;12
524;1520719383319;525000;8
525;1520719383688;526000;8
526;1520719384061;527000;11
527;1520719384430;528000;11
528;1520719384799;529000;10
529;1520719385168;530000;11
530;1520719385539;531000;12
531;1520719385907;532000;9
532;1520719386274;533000;8
533;1520719386643;534000;9
534;1520719387010;535000;9
535;1520719387378;536000;10
536;1520719387747;537000;9
537;1520719388119;538000;12
538;1520719388489;539000;8
539;1520719388856;540000;10
540;1520719389224;541000;10
541;1520719389594;542000;10
542;1520719389965;543000;10
543;1520719390335;544000;8
544;1520719390702;545000;8
545;1520719391071;546000;11
546;1520719391443;547000;9
547;1520719391814;548000;10
548;1520719392180;549000;10
549;1520719392551;550000;9
550;1520719392921;551000;10
551;1520719393291;552000;10
552;1520719393659;553000;8
553;1520719394026;554000;10
554;1520719394391;555000;9
555;1520719394760;556000;10
556;1520719395129;557000;8
557;1520719395496;558000;9
558;1520719395867;559000;10
559;1520719396235;560000;10
560;1520719396605;561000;8
561;1520719396974;562000;11
562;1520719397347;563000;10
563;1520719397720;564000;9
564;1520719398100;565000;13
565;1520719398476;566000;12
566;1520719398845;567000;14
567;1520719399213;568000;11
568;1520719399581;569000;13
569;1520719399949;570000;11
570;1520719400315;571000;10
571;1520719400684;572000;9
572;1520719401051;573000;11
573;1520719401418;574000;10
574;1520719401787;575000;11
575;1520719402159;576000;11
576;1520719402531;577000;12
577;1520719402897;578000;9
578;1520719403267;579000;11
579;1520719403638;580000;14
580;1520719404014;581000;12
581;1520719404382;582000;13
582;1520719404750;583000;10
583;1520719405115;584000;9
584;1520719405485;585000;9
585;1520719405868;586000;12
586;1520719406236;587000;11
587;1520719406605;588000;11
588;1520719406974;589000;12
589;1520719407339;590000;13
590;1520719407709;591000;10
591;1520719408077;592000;11
592;1520719408444;593000;9
593;1520719408818;594000;12
594;1520719409185;595000;11
595;1520719409555;596000;12
596;1520719409921;597000;12
597;1520719410292;598000;12
598;1520719410664;599000;13
599;1520719411032;600000;10
600;1520719411399;601000;10
601;1520719411773;602000;11
602;1520719412141;603000;11
603;1520719412511;604000;11
604;1520719412879;605000;12
605;1520719413245;606000;14
606;1520719413612;607000;11
607;1520719413982;608000;12
608;1520719414350;609000;12
609;1520719414716;610000;11
610;1520719415095;611000;11
611;1520719415460;612000;13
612;1520719415827;613000;9
613;1520719416191;614000;11
614;1520719416559;615000;10
615;1520719416925;616000;12
616;1520719417289;617000;9
617;1520719417656;618000;11
618;1520719418023;619000;13
619;1520719418389;620000;13
620;1520719418760;621000;9
621;1520719419125;622000;11
622;1520719419491;623000;13
623;1520719419856;624000;9
624;1520719420220;625000;12
625;1520719420588;626000;14
626;1520719420955;627000;12
627;1520719421319;628000;10
628;1520719421686;629000;11
629;1520719422048;630000;10
630;1520719422411;631000;10
631;1520719422778;632000;12
632;1520719423146;633000;10
633;1520719423509;634000;14
634;1520719423900;635000;15
635;1520719424263;636000;11
636;1520719424633;637000;12
637;1520719424999;638000;11
638;1520719425361;639000;9
639;1520719425726;640000;14
640;1520719426090;641000;15
641;1520719426453;642000;11
642;1520719426816;643000;10
643;1520719427180;644000;11
644;1520719427547;645000;12
645;1520719427913;646000;10
646;1520719428278;647000;14
647;1520719428647;648000;12
648;1520719429011;649000;12
649;1520719429375;650000;12
650;1520719429739;651000;10
651;1520719430109;652000;11
652;1520719430474;653000;10
653;1520719430841;654000;11
