Tarefa;T1-AntesDaElasticidade;T2-DepoisDaElasticidade
0;1520719152442;1520719173636
1;1520719174203;1520719174203
2;1520719174693;1520719174693
3;1520719175208;1520719175209
4;1520719175651;1520719175651
5;1520719176087;1520719176088
6;1520719176525;1520719176526
7;1520719176956;1520719176956
8;1520719177392;1520719177393
9;1520719177821;1520719177822
10;1520719178251;1520719178251
11;1520719178682;1520719178682
12;1520719179109;1520719179109
13;1520719179543;1520719179544
14;1520719179992;1520719179993
15;1520719180460;1520719180461
16;1520719180959;1520719180959
17;1520719181384;1520719181385
18;1520719181793;1520719181793
19;1520719182204;1520719182205
20;1520719182615;1520719182616
21;1520719183025;1520719183026
22;1520719183435;1520719183435
23;1520719183844;1520719183844
24;1520719184249;1520719184249
25;1520719184655;1520719184655
26;1520719185061;1520719185061
27;1520719185459;1520719185459
28;1520719185869;1520719185869
29;1520719186267;1520719186268
30;1520719186669;1520719186669
31;1520719187070;1520719187070
32;1520719187504;1520719187504
33;1520719187914;1520719187914
34;1520719188319;1520719188320
35;1520719188734;1520719188734
36;1520719189142;1520719189142
37;1520719189548;1520719189548
38;1520719189957;1520719189957
39;1520719190362;1520719190362
40;1520719190789;1520719190789
41;1520719191194;1520719191194
42;1520719191638;1520719191639
43;1520719192076;1520719192076
44;1520719192481;1520719192481
45;1520719192895;1520719192895
46;1520719193296;1520719193297
47;1520719193706;1520719193706
48;1520719194111;1520719194111
49;1520719194517;1520719194518
50;1520719194941;1520719194941
51;1520719195351;1520719195351
52;1520719195817;1520719195817
53;1520719196220;1520719196220
54;1520719196620;1520719196620
55;1520719197022;1520719197022
56;1520719197446;1520719197446
57;1520719197854;1520719197854
58;1520719198271;1520719198272
59;1520719198685;1520719198687
60;1520719199091;1520719199091
61;1520719199491;1520719199491
62;1520719199895;1520719199896
63;1520719200298;1520719200298
64;1520719200698;1520719200698
65;1520719201114;1520719201114
66;1520719201513;1520719201514
67;1520719201920;1520719201920
68;1520719202320;1520719202320
69;1520719202735;1520719202735
70;1520719203137;1520719203137
71;1520719203545;1520719203545
72;1520719203948;1520719203948
73;1520719204355;1520719204356
74;1520719204756;1520719204756
75;1520719205158;1520719205158
76;1520719205557;1520719205557
77;1520719205960;1520719205960
78;1520719206360;1520719206360
79;1520719206773;1520719206773
80;1520719207171;1520719207171
81;1520719207575;1520719207576
82;1520719207975;1520719207975
83;1520719208371;1520719208371
84;1520719208773;1520719208774
85;1520719209176;1520719209176
86;1520719209574;1520719209575
87;1520719209980;1520719209980
88;1520719210378;1520719210378
89;1520719210778;1520719210778
90;1520719211178;1520719211178
91;1520719211578;1520719211578
92;1520719211979;1520719211979
93;1520719212376;1520719212377
94;1520719212774;1520719212774
95;1520719213180;1520719213180
96;1520719213576;1520719213577
97;1520719213977;1520719213977
98;1520719214379;1520719214379
99;1520719214779;1520719214779
100;1520719215186;1520719215186
101;1520719215586;1520719215586
102;1520719215987;1520719215987
103;1520719216387;1520719216387
104;1520719216787;1520719216787
105;1520719217191;1520719217191
106;1520719217586;1520719217587
107;1520719217987;1520719217987
108;1520719218382;1520719218382
109;1520719218783;1520719218783
110;1520719219180;1520719219180
111;1520719219578;1520719219578
112;1520719219977;1520719219977
113;1520719220377;1520719220377
114;1520719220786;1520719220786
115;1520719221190;1520719221190
116;1520719221590;1520719221590
117;1520719221994;1520719221994
118;1520719222386;1520719222386
119;1520719222778;1520719222778
120;1520719223176;1520719223176
121;1520719223573;1520719223573
122;1520719223967;1520719223967
123;1520719224370;1520719224370
124;1520719224764;1520719224764
125;1520719225166;1520719225167
126;1520719225562;1520719225562
127;1520719226026;1520719226026
128;1520719226453;1520719226453
129;1520719226887;1520719226887
130;1520719227327;1520719227327
131;1520719227733;1520719227733
132;1520719228138;1520719228139
133;1520719228589;1520719228589
134;1520719229005;1520719229005
135;1520719229475;1520719229475
136;1520719229877;1520719229878
137;1520719230283;1520719230283
138;1520719230680;1520719230680
139;1520719231076;1520719231077
140;1520719231480;1520719231480
141;1520719231885;1520719231885
142;1520719232296;1520719232296
143;1520719232698;1520719232698
144;1520719233111;1520719233111
145;1520719233511;1520719233511
146;1520719233917;1520719233917
147;1520719234318;1520719234319
148;1520719234722;1520719234722
149;1520719235122;1520719235122
150;1520719235516;1520719235516
151;1520719235918;1520719235918
152;1520719236313;1520719236313
153;1520719236738;1520719236738
154;1520719237136;1520719237136
155;1520719237529;1520719237529
156;1520719237926;1520719237926
157;1520719238323;1520719238323
158;1520719238716;1520719238716
159;1520719239144;1520719239144
160;1520719239548;1520719239549
161;1520719239942;1520719239942
162;1520719240342;1520719240343
163;1520719240742;1520719240742
164;1520719241150;1520719241150
165;1520719241570;1520719241571
166;1520719241975;1520719241975
167;1520719242375;1520719242375
168;1520719242775;1520719242775
169;1520719243185;1520719243185
170;1520719243582;1520719243582
171;1520719243984;1520719243984
172;1520719244376;1520719244376
173;1520719244770;1520719244770
174;1520719245167;1520719245167
175;1520719245561;1520719245561
176;1520719245974;1520719245974
177;1520719246399;1520719246399
178;1520719246815;1520719246815
179;1520719247222;1520719247222
180;1520719247646;1520719247646
181;1520719248050;1520719248050
182;1520719248460;1520719248460
183;1520719248854;1520719248854
184;1520719249278;1520719249278
185;1520719249680;1520719249680
186;1520719250088;1520719250088
187;1520719250500;1520719250501
188;1520719250909;1520719250910
189;1520719251315;1520719251315
190;1520719251721;1520719251721
191;1520719252122;1520719252123
192;1520719252524;1520719252525
193;1520719252923;1520719252923
194;1520719253329;1520719253329
195;1520719253728;1520719253728
196;1520719254127;1520719254127
197;1520719254532;1520719254532
198;1520719254932;1520719254932
199;1520719255335;1520719255335
200;1520719255826;1520719255826
201;1520719256245;1520719256246
202;1520719256653;1520719256653
203;1520719257064;1520719257065
204;1520719257478;1520719257478
205;1520719257878;1520719257878
206;1520719258287;1520719258287
207;1520719258695;1520719258695
208;1520719259106;1520719259106
209;1520719259512;1520719259512
210;1520719259910;1520719259911
211;1520719260372;1520719260372
212;1520719260767;1520719260767
213;1520719261168;1520719261169
214;1520719261568;1520719261568
215;1520719261971;1520719261971
216;1520719262362;1520719262363
217;1520719262768;1520719262768
218;1520719263165;1520719263165
219;1520719263572;1520719263573
220;1520719263972;1520719263972
221;1520719264373;1520719264373
222;1520719264777;1520719264777
223;1520719265175;1520719265175
224;1520719265574;1520719265574
225;1520719265976;1520719265976
226;1520719266375;1520719266375
227;1520719266776;1520719266776
228;1520719267167;1520719267168
229;1520719267568;1520719267568
230;1520719267972;1520719267972
231;1520719268373;1520719268373
232;1520719268779;1520719268779
233;1520719269173;1520719269173
234;1520719269571;1520719269571
235;1520719269983;1520719269983
236;1520719270391;1520719270391
237;1520719270797;1520719270797
238;1520719271193;1520719271193
239;1520719271603;1520719271603
240;1520719272003;1520719272003
241;1520719272409;1520719272409
242;1520719272801;1520719272801
243;1520719273197;1520719273197
244;1520719273606;1520719273607
245;1520719274013;1520719274014
246;1520719274412;1520719274413
247;1520719274818;1520719274818
248;1520719275218;1520719275219
249;1520719275624;1520719275624
250;1520719276022;1520719276022
251;1520719276423;1520719276423
252;1520719276820;1520719276820
253;1520719277216;1520719277217
254;1520719277630;1520719277631
255;1520719278031;1520719278031
256;1520719278440;1520719278440
257;1520719278844;1520719278844
258;1520719279246;1520719279247
259;1520719279653;1520719279654
260;1520719280062;1520719280062
261;1520719280462;1520719280462
262;1520719280858;1520719280858
263;1520719281254;1520719281254
264;1520719281663;1520719281663
265;1520719282061;1520719282061
266;1520719282464;1520719282464
267;1520719282861;1520719282861
268;1520719283264;1520719283264
269;1520719283660;1520719283661
270;1520719284062;1520719284062
271;1520719284466;1520719284467
272;1520719284874;1520719284874
273;1520719285271;1520719285271
274;1520719285688;1520719285688
275;1520719286088;1520719286088
276;1520719286493;1520719286493
277;1520719286891;1520719286891
278;1520719287288;1520719287288
279;1520719287696;1520719287696
280;1520719288099;1520719288099
281;1520719288500;1520719288500
282;1520719288905;1520719288905
283;1520719289304;1520719289304
284;1520719289704;1520719289705
285;1520719290103;1520719290104
286;1520719290502;1520719290502
287;1520719290896;1520719290896
288;1520719291296;1520719291296
289;1520719291700;1520719291701
290;1520719292106;1520719292107
291;1520719292506;1520719292506
292;1520719292908;1520719292908
293;1520719293299;1520719293299
294;1520719293697;1520719293697
295;1520719294094;1520719294094
296;1520719294495;1520719294495
297;1520719294899;1520719294899
298;1520719295300;1520719295300
299;1520719295691;1520719295691
300;1520719296082;1520719296082
301;1520719296475;1520719296475
302;1520719296867;1520719296867
303;1520719297260;1520719297260
304;1520719297660;1520719297660
305;1520719298047;1520719298047
306;1520719298435;1520719298435
307;1520719298833;1520719298833
308;1520719299240;1520719299240
309;1520719299647;1520719299647
310;1520719300053;1520719300053
311;1520719300467;1520719300467
312;1520719300864;1520719300865
313;1520719301254;1520719301254
314;1520719301639;1520719301639
315;1520719302025;1520719302025
316;1520719302413;1520719302413
317;1520719302814;1520719302815
318;1520719303211;1520719303211
319;1520719303611;1520719303612
320;1520719304006;1520719304006
321;1520719304393;1520719304393
322;1520719304785;1520719304785
323;1520719305185;1520719305185
324;1520719305584;1520719305584
325;1520719305992;1520719305992
326;1520719306387;1520719306387
327;1520719306788;1520719306788
328;1520719307181;1520719307181
329;1520719307573;1520719307573
330;1520719307963;1520719307963
331;1520719308359;1520719308359
332;1520719308746;1520719308746
333;1520719309138;1520719309139
334;1520719309531;1520719309531
335;1520719309923;1520719309923
336;1520719310311;1520719310311
337;1520719310705;1520719310705
338;1520719311094;1520719311094
339;1520719311482;1520719311482
340;1520719311869;1520719311869
341;1520719312259;1520719312259
342;1520719312645;1520719312645
343;1520719313038;1520719313038
344;1520719313422;1520719313422
345;1520719313809;1520719313809
346;1520719314199;1520719314199
347;1520719314583;1520719314583
348;1520719314973;1520719314973
349;1520719315361;1520719315361
350;1520719315780;1520719315780
351;1520719316167;1520719316167
352;1520719316556;1520719316556
353;1520719316947;1520719316947
354;1520719317351;1520719317351
355;1520719317741;1520719317741
356;1520719318130;1520719318130
357;1520719318557;1520719318557
358;1520719318964;1520719318964
359;1520719319347;1520719319347
360;1520719319731;1520719319731
361;1520719320128;1520719320128
362;1520719320524;1520719320524
363;1520719320921;1520719320921
364;1520719321319;1520719321319
365;1520719321718;1520719321718
366;1520719322119;1520719322119
367;1520719322514;1520719322514
368;1520719322907;1520719322908
369;1520719323306;1520719323306
370;1520719323705;1520719323705
371;1520719324102;1520719324102
372;1520719324495;1520719324495
373;1520719324894;1520719324894
374;1520719325289;1520719325290
375;1520719325681;1520719325681
376;1520719326069;1520719326069
377;1520719326467;1520719326467
378;1520719326863;1520719326863
379;1520719327256;1520719327256
380;1520719327656;1520719327656
381;1520719328049;1520719328050
382;1520719328444;1520719328444
383;1520719328837;1520719328837
384;1520719329236;1520719329236
385;1520719329653;1520719329653
386;1520719330054;1520719330054
387;1520719330443;1520719330444
388;1520719330833;1520719330833
389;1520719331217;1520719331217
390;1520719331604;1520719331604
391;1520719331991;1520719331991
392;1520719332377;1520719332377
393;1520719332765;1520719332765
394;1520719333152;1520719333153
395;1520719333536;1520719333537
396;1520719333936;1520719333936
397;1520719334323;1520719334323
398;1520719334716;1520719334716
399;1520719335103;1520719335103
400;1520719335495;1520719335495
401;1520719335881;1520719335881
402;1520719336268;1520719336268
403;1520719336659;1520719336659
404;1520719337049;1520719337049
405;1520719337431;1520719337432
406;1520719337816;1520719337817
407;1520719338205;1520719338205
408;1520719338589;1520719338589
409;1520719338990;1520719338990
410;1520719339374;1520719339374
411;1520719339768;1520719339768
412;1520719340158;1520719340158
413;1520719340557;1520719340557
414;1520719340957;1520719340957
415;1520719341353;1520719341353
416;1520719341753;1520719341753
417;1520719342142;1520719342142
418;1520719342530;1520719342530
419;1520719342923;1520719342923
420;1520719343313;1520719343313
421;1520719343694;1520719343694
422;1520719344083;1520719344084
423;1520719344467;1520719344467
424;1520719344860;1520719344861
425;1520719345258;1520719345258
426;1520719345640;1520719345640
427;1520719346025;1520719346025
428;1520719346406;1520719346406
429;1520719346790;1520719346790
430;1520719347179;1520719347179
431;1520719347560;1520719347560
432;1520719347942;1520719347942
433;1520719348324;1520719348324
434;1520719348705;1520719348705
435;1520719349094;1520719349094
436;1520719349489;1520719349489
437;1520719349878;1520719349878
438;1520719350265;1520719350265
439;1520719350655;1520719350656
440;1520719351054;1520719351055
441;1520719351448;1520719351449
442;1520719351846;1520719351846
443;1520719352240;1520719352240
444;1520719352636;1520719352636
445;1520719353028;1520719353028
446;1520719353420;1520719353421
447;1520719353812;1520719353812
448;1520719354208;1520719354208
449;1520719354593;1520719354593
450;1520719354980;1520719354980
451;1520719355362;1520719355363
452;1520719355808;1520719355808
453;1520719356221;1520719356221
454;1520719356605;1520719356605
455;1520719356988;1520719356988
456;1520719357381;1520719357381
457;1520719357779;1520719357780
458;1520719358198;1520719358198
459;1520719358584;1520719358584
460;1520719358984;1520719358985
461;1520719359371;1520719359371
462;1520719359752;1520719359752
463;1520719360135;1520719360135
464;1520719360514;1520719360514
465;1520719360898;1520719360898
466;1520719361293;1520719361294
467;1520719361680;1520719361680
468;1520719362062;1520719362063
469;1520719362450;1520719362450
470;1520719362843;1520719362844
471;1520719363233;1520719363233
472;1520719363616;1520719363617
473;1520719364000;1520719364001
474;1520719364391;1520719364391
475;1520719364777;1520719364777
476;1520719365168;1520719365169
477;1520719365555;1520719365555
478;1520719365937;1520719365938
479;1520719366328;1520719366328
480;1520719366711;1520719366711
